gene_symbol,fdr_bh_adj_p_primary,mean_transloc_primary,n_sg_primary,fdr_bh_adj_p_secondary_reporter,mean_transloc_secondary_reporter,n_sg_secondary_reporter,fdr_bh_adj_p_secondary_antibody,mean_transloc_secondary_antibody,n_sg_secondary_antibody
ADAMTS5,0.8953262012184091,-0.006790949486911598,4.0,,,,,,
ADAMTS6,0.9764982787108263,0.0021592892595213905,4.0,,,,,,
ADAMTS7,0.5372299297029575,-0.005004519929947432,4.0,,,,,,
ADAMTS8,0.9809602365185649,-0.002866117655794854,4.0,,,,,,
ADAMTS9,0.7972721289873279,0.006266840034650186,4.0,,,,,,
ADAMTSL1,0.9964775216188235,-0.0029354002530414536,4.0,,,,,,
ADAMTSL2,0.38417100632592066,-0.030892624865714022,4.0,,,,,,
ADAMTSL3,0.05240719797034203,-0.03822135569761829,4.0,,,,,,
ADAMTSL4,0.37190163307078705,0.03446486484498158,2.0,,,,,,
ADAMTSL4-AS1,0.17285425016138767,0.04259552251890722,4.0,,,,,,
ADAMTSL5,0.7255610855669972,-0.0191502366350016,4.0,,,,,,
ADAP1,0.23681212607579483,-0.012560428793885003,4.0,,,,,,
ADAP2,0.43860421024811463,-0.03482915497805673,4.0,,,,,,
ADAR,0.5024764129077789,0.008627905753129618,3.0,,,,,,
ADARB1,0.793372904110592,-0.016803170003106112,4.0,,,,,,
ADARB2,0.4122887379184324,-0.02428978125881311,4.0,,,,,,
ADAT1,0.26118541173623855,-0.030368466108694404,4.0,,,,,,
ADAT2,0.8996427433791567,-0.009445008779360855,2.0,,,,,,
ADAT3,0.7253839817379486,0.00595413598281418,2.0,,,,,,
ADCK1,0.9576947300412864,0.002350787033849631,4.0,,,,,,
ADCK2,0.66247307918733,-0.002626477040427173,3.0,,,,,,
ADCK3,0.9084212495025147,-0.012229182057955954,2.0,,,,,,
ADCK4,0.22296717191943768,-0.039763018713010086,4.0,,,,,,
ADCK5,0.25935766461309406,-0.007500821985815698,3.0,,,,,,
ADCY1,0.4008493725684024,0.007195892794256452,3.0,,,,,,
ADCY10,0.11805898028617584,-0.03619605729879033,4.0,,,,,,
ADCY2,0.3065129238257195,-0.01949934108149209,4.0,,,,,,
ADCY3,0.6238839682753852,-0.01103825729621965,3.0,,,,,,
ADCY4,0.9754682322989386,0.009914489709906953,4.0,,,,,,
ADCY5,0.8901427152002731,-0.007656630997131456,4.0,,,,,,
ADCY6,0.8275380173298356,-0.0055071145155766305,3.0,,,,,,
ADCY7,0.43727218876327373,-0.024069973564526923,4.0,,,,,,
ADCY8,0.4674590334440078,0.006527156309145648,3.0,,,,,,
ADCY9,0.4870525048745809,-0.02260489689533498,4.0,,,,,,
ADCYAP1,0.4574666412375538,-0.020942172389446366,4.0,,,,,,
ADCYAP1R1,0.1565728184072596,0.0030531909870575,4.0,,,,,,
ADD1,0.079321146227517,-0.026065227359228216,4.0,,,,,,
