,gene_symbol,Plasmid,2dDox,7dDox,InSitu
181,ACRBP,4.7141616975251536e-05,4.759350990976536e-05,4.633915019844332e-05,4.997398052843996e-05
182,ACRC,3.583271155531249e-05,3.290846409231642e-05,6.085877078813372e-05,5.827154710674697e-05
183,ACRV1,6.78534325196343e-05,7.33684214505947e-05,0.00010648062099476659,9.693066411931374e-05
184,ACSBG1,4.764988238738363e-05,5.4729910952804005e-05,4.060810561157313e-05,3.3756009489021704e-05
185,ACSBG2,3.519737979014738e-05,2.482672765033426e-05,3.4574687049228095e-05,3.9224860188360424e-05
186,ACSF2,4.8920545917713866e-05,5.346484865977364e-05,2.9307781705368065e-05,3.733904960238156e-05
187,ACSF3,6.429557463470964e-05,6.91976342912205e-05,7.160574145606739e-05,6.477759362837406e-05
188,ACSL1,4.167776379483155e-05,5.3729509530051046e-05,6.569703824943673e-05,8.439002372255427e-05
189,ACSL3,3.939056944023714e-05,6.109406271471987e-05,4.1846038121510796e-05,3.0644422022156574e-05
190,ACSL4,4.739574968131759e-05,4.999461235222159e-05,5.9848713552521296e-05,8.806735436521306e-05
191,ACSL5,4.4981488973690146e-05,6.176256456765282e-05,5.1067230314784304e-05,6.147742510291104e-05
192,ACSL6,6.022945133765291e-05,4.681118479238782e-05,5.8655889268637704e-05,5.949732398763323e-05
193,ACSM1,6.493090639987477e-05,7.84384778513003e-05,6.713634479699411e-05,5.978019557553006e-05
194,ACSM2A,4.892054591771386e-05,3.6062627520653436e-05,5.088987456632076e-05,4.9973980528439954e-05
195,ACSM2B,4.1677763794831555e-05,3.0574328695094033e-05,6.163233548802738e-05,6.279749251309625e-05
196,ACSM3,6.45497073407757e-05,7.503374980321471e-05,6.697063506429864e-05,4.931394682334735e-05
197,ACSM4,6.925116240299755e-05,5.3648256049973974e-05,5.342198847050889e-05,5.9120161870437454e-05
198,ACSM5,4.8158147799515725e-05,5.676343903516258e-05,5.90051580418781e-05,5.9874486104829e-05
199,ACSM6,4.142363108876551e-05,2.5033393058472e-05,4.9360557993413724e-05,5.648002705006704e-05
200,ACSS1,5.9212920513388734e-05,6.162843416931758e-05,0.0001020039287762014,0.0001162602226255971
201,ACSS2,4.053416661753435e-05,3.6836200395262536e-05,3.964555339004168e-05,3.913056965906147e-05
202,ACSS3,5.946705321945477e-05,9.852466711854485e-05,5.73905061643512e-05,4.72395551787706e-05
203,ACTA1,3.4689114378015285e-05,4.1460067086733696e-05,3.145711491632264e-05,2.272401756104534e-05
204,ACTA2,4.574388709188829e-05,5.209252865478458e-05,4.601657328854709e-05,3.9696312834855135e-05
205,ACTB,4.460028991459108e-05,3.449212017734721e-05,1.1596832609257124e-05,1.2163478279563688e-05
206,ACTBL2,4.8793479564680846e-05,4.928478513170574e-05,6.145572473048763e-05,5.949732398763323e-05
207,ACTC1,5.46385318041999e-05,6.464942433432401e-05,3.6438983122764545e-05,3.790479277817521e-05
208,ACTG1,4.1042432029666434e-05,3.601781448502028e-05,1.3470817212270129e-05,1.3860707806944667e-05
209,ACTG2,5.8069323336091526e-05,5.348034136278371e-05,5.386513509334244e-05,4.8748203647553697e-05
210,ACTL10,5.0191209448044094e-05,6.737908185639449e-05,4.288959033103402e-05,5.978019557553006e-05
211,ACTL6A,5.7688124276992445e-05,4.132741762083433e-05,6.76944164856027e-06,9.99479610568799e-06
212,ACTL6B,7.01406268742287e-05,7.180225389492513e-05,6.677940393739785e-05,6.779489056594024e-05
213,ACTL7A,5.082654121320921e-05,5.948581776770736e-05,4.15153777056521e-05,3.950773177625725e-05
214,ACTL7B,7.738340899711103e-05,6.263380833294104e-05,8.248055174541224e-05,8.127843625568914e-05
215,ACTL8,4.625215250402038e-05,3.266441566914379e-05,4.2457137181992115e-05,4.7899588883863205e-05
216,ACTL9,4.752281603435061e-05,3.909539427617055e-05,5.80596541900468e-05,6.496617468697195e-05
217,ACTN1,4.409202450245899e-05,3.4650598144913417e-05,4.544278720382081e-05,4.412796771190547e-05
218,ACTN2,4.421909085549201e-05,3.5292995097263955e-05,3.6596428989793565e-05,2.6967091379497788e-05
219,ACTN3,3.799283955687388e-05,2.9975393506453222e-05,2.1018425638112962e-05,2.8852901965476657e-05
220,ACTN4,3.0368858374892505e-05,2.6303962625354932e-05,4.110628327675104e-05,3.1681617844444955e-05
221,ACTR10,4.879347956468084e-05,2.3635640741450603e-05,1.2845217651656289e-05,1.169202563306897e-05
222,ACTR1A,3.075005743399157e-05,2.691348855543223e-05,4.185764971132852e-06,2.6401348203704126e-06
223,ACTR1B,3.430791531891621e-05,2.504776010985651e-05,1.3343807880596552e-05,1.8575234271891834e-05
224,ACTR2,5.400320003903478e-05,4.174672609590262e-05,8.388554271063842e-06,6.317465463029202e-06
225,ACTR3,5.641746074666222e-05,5.124300130064902e-05,2.6415349309126536e-05,2.847573984828088e-05
226,ACTR3B,4.942881132984595e-05,3.3485866414321244e-05,2.3692194166035077e-05,2.4986990264219977e-05
227,ACTR3C,6.404144192864361e-05,4.985875059529866e-05,4.3654597842034544e-05,4.1676413950132946e-05
228,ACTR5,3.977176849933621e-05,5.487090796106454e-05,3.230599408368637e-05,4.205357606732872e-05
229,ACTR6,2.7065133196033903e-05,2.6075820221173943e-05,5.4296644709228356e-06,7.920404461111239e-06
230,ACTR8,3.100419014005762e-05,3.425646750711884e-05,6.99708015045653e-06,9.429052929894331e-06
231,ACTRT1,2.7192199549066927e-05,1.4895948212640136e-05,4.247670742439596e-05,3.6773306426587895e-05
232,ACTRT2,5.692572615879431e-05,5.462621557466122e-05,6.200039530233748e-05,5.35570206417998e-05
233,ACTRT3,4.510855532672318e-05,3.098260701667249e-05,4.56132893208546e-05,5.581999334497444e-05
234,ACVR1,9.466443300960215e-05,8.662907345854427e-05,9.653760739484127e-05,7.279228861878424e-05
235,ACVR1B,5.4511465451166874e-05,4.562474153555122e-05,5.1203245398398987e-05,4.752242676666743e-05
236,ACVR1C,3.570564520227947e-05,2.033558696024938e-05,5.422623679609926e-05,5.761151340165436e-05
237,ACVR2A,8.564272194425751e-05,8.718665631480094e-05,7.030449314929935e-05,7.100076856210432e-05
238,ACVR2B,5.1207740272308276e-05,4.652517555885923e-05,4.1452627282009005e-05,3.403888107691853e-05
239,ACVRL1,5.4638531804199894e-05,4.4823453609816824e-05,3.696682449343841e-05,3.639614430939212e-05
240,ACY1,5.387613368600176e-05,6.080357722748267e-05,5.6303686003519675e-05,5.3462730112500864e-05
241,ACY3,5.3113735567803625e-05,5.8517032539798054e-05,3.693704008964057e-05,3.630185378009318e-05
242,ACYP1,4.7014550622218516e-05,7.892992251284e-05,5.3742903118162294e-05,3.5264657957804796e-05
243,ACYP2,4.2821360972128757e-05,3.9890506577459653e-05,4.60969109045963e-05,5.968590504623112e-05
244,ADA,5.108067391927525e-05,4.264420880578458e-05,5.18449787543949e-05,5.4782797522686066e-05
245,ADA2,3.723044143867574e-05,2.6140548141838462e-05,3.211139635698927e-05,3.290739472533121e-05
246,ADAD1,3.9009370381138064e-05,3.1438670518122545e-05,5.575434530048456e-05,5.7894384989551196e-05
247,ADAD2,3.9009370381138064e-05,3.859832388574854e-05,4.6413228380732475e-05,5.883729028254063e-05
248,ADAL,5.1207740272308276e-05,5.932904668937049e-05,4.850325679779443e-05,4.516516353419384e-05
249,ADAM10,4.460028991459108e-05,4.043660708816753e-05,6.496591350540592e-05,6.025164822202478e-05
250,ADAM11,5.832345604215756e-05,3.700405094058454e-05,1.719093730654721e-05,2.442124708842632e-05
251,ADAM12,4.371082544335992e-05,4.239082571273987e-05,3.0399390918287258e-05,3.187019890304284e-05
252,ADAM15,5.501973086329897e-05,5.2056534971904135e-05,3.4837014102906836e-05,3.385030001832065e-05
253,ADAM17,4.0407100264501326e-05,5.666605618182448e-05,5.40698408357492e-05,4.544803512209068e-05
254,ADAM18,6.594743722413894e-05,6.209789851395669e-05,0.00010652844598608897,0.00010409674434603342
255,ADAM19,4.2440161913029696e-05,4.277329419865971e-05,4.9545827320499015e-05,4.3939386653307584e-05
256,ADAM2,3.7738706850807836e-05,6.365404917152949e-05,5.6226379891435434e-05,5.9874486104829e-05
257,ADAM20,4.9682944035912e-05,5.36147977725973e-05,6.445243886374721e-05,4.3656515065410756e-05
258,ADAM21,4.4981488973690146e-05,3.43241116458196e-05,5.930407396357681e-05,6.091168192711739e-05
259,ADAM22,5.7815190630025465e-05,8.012738396342184e-05,6.57100759368338e-05,7.420664655826838e-05
